Age_cat,Sex,Positivity_Pct,RR,Lower_CI,Upper_CI,P_value,P_value_adj,Significant_raw,Significant_adj
0-14,M,46.6,2.514838113516011,2.105642941875163,3.003553266994363,2.442269879877562e-19,4.151858795791855e-18,TRUE,TRUE
0-14,F,45.8,2.4708316822964824,2.041175155508137,2.990928625485971,1.059054004008034e-15,1.800391806813658e-14,TRUE,TRUE
15-24,M,39.7,2.1449920881439373,1.8215779119808937,2.525827211638009,2.9567576263688335e-18,5.026487964827017e-17,TRUE,TRUE
15-24,F,21.1,1.1387311231453352,0.9628526185896914,1.3467362977307475,0.13382306055164592,1,FALSE,FALSE
25-34,M,30.5,1.645259582160925,1.3905745135767154,1.946590467654942,1.4303685526693546e-8,2.431626539537903e-7,TRUE,TRUE
35-44,M,32.3,1.745292434626389,1.495180639281668,2.0372425928599,2.216721713682054e-12,3.768426913259492e-11,TRUE,TRUE
35-44,F,24.2,1.305634463012012,1.1274373791276782,1.5119964820783331,3.577696673476457e-4,0.006082084344909977,TRUE,TRUE
45-54,M,38.3,2.0662800011580664,1.7899878402278153,2.3852190206176984,4.1481166579169454e-24,7.051798318458808e-23,TRUE,TRUE
45-54,F,30.5,1.6488317843522051,1.436158656095449,1.8929985496737431,1.684480974786788e-13,2.8636176571375393e-12,TRUE,TRUE
55-64,M,50.6,2.7303548017043595,2.3858350141151465,3.1246239991808005,7.908602422937818e-54,1.3444624118994291e-52,TRUE,TRUE
55-64,F,41.5,2.2385262001816377,1.964252006591529,2.5510980933627683,1.5679528426333034e-40,2.6655198324766156e-39,TRUE,TRUE
65-74,M,53.9,2.910156961287738,2.5414372809216674,3.3323716476922636,1.4448352081583505e-58,2.456219853869196e-57,TRUE,TRUE
65-74,F,47.7,2.5756799050291384,2.260326774214087,2.9350300358573547,6.141571434297368e-56,1.0440671438305525e-54,TRUE,TRUE
75-84,M,49.7,2.68075371741617,2.273897472813768,3.160406561579914,5.318088092417159e-26,9.04074975710917e-25,TRUE,TRUE
75-84,F,44.1,2.3788810559472027,2.0268041097487433,2.7921174281840275,1.6933809951734628e-23,2.8787476917948867e-22,TRUE,TRUE
85+,M,29.5,1.594931617055511,0.995629427907911,2.554973559217247,0.07709379687331473,1,FALSE,FALSE
85+,F,43.4,2.3426281516112875,1.6854783492266323,3.255993563631237,5.0697824245864655e-5,8.618630121796991e-4,TRUE,TRUE
