Year,fitted,se,lower,upper
2014,52.72938666957318,3.7999184007403537,45.281546604122084,60.17722673502428
2015,47.48007384618839,2.6869480692909957,42.213655630378035,52.746492061998744
2016,42.230761022803605,2.1938839118467808,37.93074855558392,46.53077349002329
2017,36.98144819941882,2.6869480692920114,31.715029983606478,42.247866415231165
2018,31.73213537603403,3.7999184007427473,24.284295310578244,39.179975441489816
2019,28.78130091956457,3.550465857855899,21.822387838167007,35.74021400096213
2020,30.441954383119242,2.6655377833177014,25.21750032781655,35.66640843842194
2021,32.10260784667391,2.086799848462356,28.012480143687696,36.19273554966013
2022,33.763261310228586,2.0867998484625807,29.67313360724193,37.85338901321524
2023,35.42391477378326,2.665537783318234,30.19946071847952,40.648368829087
2024,37.084568237337926,3.5504658578568162,30.125655155938567,44.043481318737285
